,file,frame,model,TP,FN,FP,precision,recall,average_precision
37,BT402_169.tif,0,single_frame,302,31,-25,1.0902527075812274,0.9069069069069069,0.9805194805194806
38,BT402_169.tif,1,single_frame,311,30,-13,1.0436241610738255,0.9120234604105572,0.948170731707317
39,BT402_169.tif,2,single_frame,310,17,-7,1.023102310231023,0.9480122324159022,0.96875
40,BT403_002.tif,0,single_frame,84,22,15,0.8484848484848485,0.7924528301886793,0.6942148760330579
41,BT403_002.tif,1,single_frame,86,24,14,0.86,0.7818181818181819,0.6935483870967742
42,BT403_002.tif,2,single_frame,83,20,24,0.7757009345794392,0.8058252427184466,0.6535433070866141
43,BT403_002.tif,3,single_frame,81,32,19,0.81,0.7168141592920354,0.6136363636363636
44,BT403_002.tif,4,single_frame,72,27,20,0.782608695652174,0.7272727272727273,0.6050420168067226
45,BT403_002.tif,5,single_frame,77,26,28,0.7333333333333333,0.7475728155339806,0.5877862595419847
46,BT403_002.tif,6,single_frame,67,28,30,0.6907216494845361,0.7052631578947368,0.536
47,BT403_002.tif,7,single_frame,69,31,29,0.7040816326530612,0.69,0.5348837209302325
48,BT403_002.tif,8,single_frame,48,11,36,0.5714285714285714,0.8135593220338984,0.5052631578947369
49,BT403_002.tif,9,single_frame,77,16,40,0.6581196581196581,0.8279569892473119,0.5789473684210527
50,BT403_002.tif,10,single_frame,80,15,36,0.6896551724137931,0.8421052631578947,0.6106870229007634
51,BT404_199.tif,0,single_frame,145,11,43,0.7712765957446809,0.9294871794871795,0.7286432160804021
52,BT404_199.tif,1,single_frame,138,17,28,0.8313253012048193,0.8903225806451613,0.7540983606557377
53,BT404_199.tif,2,single_frame,140,15,27,0.8383233532934131,0.9032258064516129,0.7692307692307693
54,BT0403_229.tif,0,3_frame,72,9,39,0.6486486486486487,0.8888888888888888,0.6
55,BT0403_229.tif,1,3_frame,65,11,61,0.5158730158730159,0.8552631578947368,0.4744525547445255
56,BT0403_229.tif,2,3_frame,64,13,71,0.4740740740740741,0.8311688311688312,0.43243243243243246
57,BT0403_229.tif,3,3_frame,68,10,62,0.5230769230769231,0.8717948717948718,0.4857142857142857
58,BT0403_229.tif,4,3_frame,74,8,49,0.6016260162601627,0.9024390243902439,0.5648854961832062
59,BT0403_229.tif,5,3_frame,72,10,51,0.5853658536585366,0.8780487804878049,0.5413533834586466
60,BT0403_229.tif,6,3_frame,71,13,44,0.6173913043478261,0.8452380952380952,0.5546875
